Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Event Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo,TeamEvent,SetupTime,RoundTime,JudgingTime,EventKindId,HasToBeConsecutive,CompetitorsPerRound,NeedsSchedule
1,Academics,Checkers,Nil,No,No,No,No,2,1,,FALSE,1,1,FALSE,0,10,0,Elimination,FALSE,0,1
2,Academics,Chess,Nil,No,No,No,No,2,1,,FALSE,1,1,FALSE,0,20,0,Elimination,FALSE,0,1
3,Academics,Spelling,Nil,No,No,No,No,2,1,,FALSE,1,1,TRUE,0,45,0,Sequential,TRUE,40,1
51,Academics,Checkers,Nil,No,No,No,No,2,2,,FALSE,1,1,FALSE,0,10,0,Elimination,FALSE,0,1
52,Academics,Chess,Nil,No,No,No,No,2,2,,FALSE,1,1,FALSE,0,20,0,Elimination,FALSE,0,1
53,Academics,Spelling,Nil,No,No,No,No,2,2,,FALSE,1,1,TRUE,0,45,0,Sequential,TRUE,40,1
70,Physical Education - Athletics,100m (Male),Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
71,Physical Education - Athletics,200m (Male),Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
72,Physical Education - Athletics,400m (Male),Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
73,Physical Education - Athletics,4 x 100m Relay (Male),Nil,No,No,No,No,0,5,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
74,Physical Education - Sports,Football Kick (Male),Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
75,Physical Education - Sports,Soccer Kick (Male),Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
