Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo
001,Academics,Checkers,Nil ,No,No,No,No,2,2,,FALSE,1,1
002,Academics,Chess,Nil ,No,No,No,No,2,2,,FALSE,1,1
003,Academics,Spelling,Nil ,No,No,No,No,2,2,,FALSE,1,1
005,Academics,Science Collection,Document ,Yes,No,No,No,0,2,,TRUE,1,2
009,Academics,Social Studies Collection,Document ,Yes,No,No,No,0,2,,TRUE,1,2
012,Academics,Poetry Writing,Document ,Yes,No,No,No,2,2,,FALSE,1,1
013,Academics,Short Story Writing,Document ,Yes,No,No,No,2,2,,FALSE,1,1
014,Academics,Book Report,Document ,Yes,No,No,No,2,2,,FALSE,1,1
051,Academics,Checkers,Nil ,No,No,No,No,2,4,,FALSE,1,1
052,Academics,Chess,Nil ,No,No,No,No,2,4,,FALSE,1,1
053,Academics,Spelling,Nil ,No,No,No,No,2,4,,FALSE,1,1
054,Academics,PACE Bowl,Nil ,No,No,No,No,2,4,,TRUE,4,4
055,Academics,Science Collection,Document ,Yes,No,No,No,0,4,,TRUE,1,2
056,Academics,Science Research,Document ,Yes,No,No,No,1,4,,TRUE,1,2
057,Academics,Science Engineering,Document ,Yes,No,No,No,0,4,,TRUE,1,2
058,Academics,Science Theoretical,Document ,Yes,No,No,No,1,4,,TRUE,1,2
059,Academics,Social Studies Collection,Document ,Yes,No,No,No,0,4,,TRUE,1,2
060,Academics,Social Studies Research,Document ,Yes,No,No,No,1,4,,TRUE,1,2
061,Academics,Persuasive Essay Writing,Document ,Yes,No,No,No,2,4,,FALSE,1,1
062,Academics,Poetry Writing,Document ,No,No,No,No,2,4,,FALSE,1,1
063,Academics,Short Story Writing,Document ,No,No,No,No,2,4,,FALSE,1,1
064,Academics,Book Report,Document ,No,No,No,No,2,4,,FALSE,1,1
100,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
101,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
102,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
103,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
104,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
105,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0,1,M,TRUE,4,5
106,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
109,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
110,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0,1,M,TRUE,2,2
111,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
112,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0,1,M,FALSE,1,1
