Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender
1,Academics,Checkers,Nil ,No,No,No,No,2,2,
2,Academics,Chess,Nil ,No,No,No,No,2,2,
3,Academics,Spelling,Nil ,No,No,No,No,2,2,
5,Academics,Science Collection,Document ,Yes,No,No,No,0,2,
9,Academics,Social Studies Collection,Document ,Yes,No,No,No,0,2,
12,Academics,Poetry Writing,Document ,Yes,No,No,No,2,2,
13,Academics,Short Story Writing,Document ,Yes,No,No,No,2,2,
14,Academics,Book Report,Document ,Yes,No,No,No,2,2,
51,Academics,Checkers,Nil ,No,No,No,No,2,4,
52,Academics,Chess,Nil ,No,No,No,No,2,4,
53,Academics,Spelling,Nil ,No,No,No,No,2,4,
54,Academics,PACE Bowl,Nil ,No,No,No,No,2,4,
55,Academics,Science Collection,Document ,Yes,No,No,No,0,4,
56,Academics,Science Research,Document ,Yes,No,No,No,1,4,
57,Academics,Science Engineering,Document ,Yes,No,No,No,0,4,
58,Academics,Science Theoretical,Document ,Yes,No,No,No,1,4,
59,Academics,Social Studies Collection,Document ,Yes,No,No,No,0,4,
60,Academics,Social Studies Research,Document ,Yes,No,No,No,1,4,
61,Academics,Persuasive Essay Writing,Document ,Yes,No,No,No,2,4,
62,Academics,Poetry Writing,Document ,No,No,No,No,2,4,
63,Academics,Short Story Writing,Document ,No,No,No,No,2,4,
64,Academics,Book Report,Document ,No,No,No,No,2,4,
100,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0,1,M
101,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0,1,M
102,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0,1,M
103,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0,1,M
104,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0,1,M
105,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0,1,M
106,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0,1,M
109,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0,1,M
110,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0,1,M
111,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0,1,M
112,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0,1,M
113,Physical Education - Sports,Netball Shoot (Male),Nil ,No,No,No,No,0,1,M
130,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0,3,M
131,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0,3,M
132,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0,3,M
133,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0,3,M
134,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0,3,M
135,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0,3,M
136,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0,3,M
137,Physical Education - Athletics,Shot Put (Male),Nil ,No,No,No,No,0,3,M
138,Physical Education - Athletics,Discus (Male),Nil ,No,No,No,No,0,3,M
139,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0,3,M
140,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0,3,M
141,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0,3,M
142,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0,3,M
143,Physical Education - Sports,Netball Shoot (Male),Nil ,No,No,No,No,0,3,M
