Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type
1,Academics,Checkers,Nil ,No,No,No,No,2
2,Academics,Chess,Nil ,No,No,No,No,2
3,Academics,Spelling,Nil ,No,No,No,No,2
5,Academics,Science Collection,Document ,Yes,No,No,No,0
9,Academics,Social Studies Collection,Document ,Yes,No,No,No,0
12,Academics,Poetry Writing,Document ,Yes,No,No,No,2
13,Academics,Short Story Writing,Document ,Yes,No,No,No,2
14,Academics,Book Report,Document ,Yes,No,No,No,2
51,Academics,checkers,Nil ,No,No,No,No,2
52,Academics,Chess,Nil ,No,No,No,No,2
53,Academics,Spelling,Nil ,No,No,No,No,2
54,Academics,PACE Bowl,Nil ,No,No,No,No,2
55,Academics,Science Collection,Document ,Yes,No,No,No,0
56,Academics,Science Research,Document ,Yes,No,No,No,1
57,Academics,Science Engineering,Document ,Yes,No,No,No,0
58,Academics,Science Theoretical,Document ,Yes,No,No,No,1
59,Academics,Social Studies Collection,Document ,Yes,No,No,No,0
60,Academics,Social Studies Research,Document ,Yes,No,No,No,1
61,Academics,Persuasive Essay Writing,Document ,Yes,No,No,No,2
62,Academics,Poetry Writing,Document ,No,No,No,No,2
63,Academics,Short Story Writing,Document ,No,No,No,No,2
64,Academics,Book Report,Document ,No,No,No,No,2
100,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0
101,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0
102,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0
103,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0
104,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0
105,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0
106,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0
109,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0
110,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0
111,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0
112,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0
113,Physical Education - Sports,Netball Shoot (Male),Nil ,No,No,No,No,0
130,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0
131,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0
132,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0
133,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0
134,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0
135,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0
136,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0
137,Physical Education - Athletics,Shot Put (Male),Nil ,No,No,No,No,0
138,Physical Education - Athletics,Discus (Male),Nil ,No,No,No,No,0
139,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0
140,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0
141,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0
142,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0
143,Physical Education - Sports,Netball Shoot (Male),Nil ,No,No,No,No,0
160,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0
161,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0
162,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0
163,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0
164,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0
165,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0
166,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0
167,Physical Education - Athletics,Shot Put (Male),Nil ,No,No,No,No,0
168,Physical Education - Athletics,Discus (Male),Nil ,No,No,No,No,0
169,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0
170,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0
171,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0
172,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0
173,Physical Education - Sports,Netball Shoot (Male),Nil ,No,No,No,No,0
174,Physical Education - Sports,Basketball (Male),Nil ,No,No,No,No,0
175,Physical Education - Sports,Tennis - singles (Male),Nil ,No,No,No,No,0
176,Physical Education - Sports,Futsal (Male),Nil ,No,No,No,No,0
177,Physical Education - Sports,Volleyball (Male),Nil ,No,No,No,No,0
200,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0
201,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0
202,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0
203,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0
204,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0
205,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0
206,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0
209,Physical Education - Sports,Table Tennis - Singles (Female),Nil ,No,No,No,No,0
210,Physical Education - Sports,Table Tennis - Doubles (Female),Nil ,No,No,No,No,0
211,Physical Education - Sports,Football Kick (Female),Nil ,No,No,No,No,0
212,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0
213,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0
230,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0
231,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0
232,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0
233,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0
234,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0
235,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0
236,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0
237,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0
238,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0
239,Physical Education - Sports,Table Tennis - Singles (Female),Nil ,No,No,No,No,0
240,Physical Education - Sports,Table Tennis - Doubles (Female),Nil ,No,No,No,No,0
241,Physical Education - Sports,Football Kick (Female),Nil ,No,No,No,No,0
242,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0
243,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0
260,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0
261,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0
262,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0
263,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0
264,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0
265,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0
266,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0
267,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0
268,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0
269,Physical Education - Sports,Table Tennis - Singles (Female),Nil,No,No,No,No,0
270,Physical Education - Sports,Table Tennis - Doubles (Female),Nil,No,No,No,No,0
271,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0
272,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0
273,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0
274,Physical Education - Sports,Basketball (Female),Nil,No,No,No,No,0
275,Physical Education - Sports,Tennis - singles (Female),Nil,No,No,No,No,0
276,Physical Education - Sports,Futsal (Female),Nil,No,No,No,No,0
277,Physical Education - Sports,Volleyball (Female),Nil,No,No,No,No,0
300,Exhibits - Manual Arts,Wood Turning,Nil,No,No,No,No,0
301,Exhibits - Manual Arts,Wood Construction,Nil,No,No,No,No,0
302,Exhibits - Manual Arts,Wood Carving,Nil,No,No,No,No,0
303,Exhibits - Manual Arts,Marquetry,Nil,No,No,No,No,0
304,Exhibits - Manual Arts,Metal Sculpture,Nil,No,No,No,No,0
306,Exhibits - Manual Arts,Metal Fabrication,Nil,No,No,No,No,0
307,Exhibits - Manual Arts,Sheet Metal Work,Nil ,No,No,No,No,0
308,Exhibits - Manual Arts,Clay Work - Handbuilt,Nil,No,No,No,No,0
309,Exhibits - Manual Arts,Clay Work - Wheel thrown,Nil,No,No,No,No,0
310,Exhibits - Manual Arts,Scrapbooking,Document ,Yes,No,No,No,1
311,Exhibits - Manual Arts,Flax Construction,Nil,No,No,No,No,0
312,Exhibits - Manual Arts,Bilum Making,Nil,No,No,No,No,0
313,Exhibits - Manual Arts,Sportswear,Nil,No,No,No,No,0
314,Exhibits - Manual Arts,Coats,Nil,No,No,No,No,0
315,Exhibits - Manual Arts,Female Formals,Nil,No,No,No,No,0
316,Exhibits - Manual Arts,Female Dresses,Nil,No,No,No,No,0
318,Exhibits - Manual Arts,Male Three piece outfit,Nil,No,No,No,No,0
320,Exhibits - Manual Arts,Counted Cross Stitch,Nil,No,No,No,No,0
321,Exhibits - Manual Arts,Embroidery,Nil,No,No,No,No,0
322,Exhibits - Manual Arts,Needle Point,Nil ,No,No,No,No,0
